week,day,year,month,day_month,day_week,activated_time,appliance
31,214,0,7,1,1,86,1
31,214,0,7,1,1,96,10
31,215,0,7,2,2,41,10
31,215,0,7,2,2,49,10
31,215,0,7,2,2,50,10
31,215,0,7,2,2,76,10
31,215,0,7,2,2,92,10
31,215,0,7,2,2,93,2
31,215,0,7,2,2,120,10
31,216,0,7,3,3,42,10
31,216,0,7,3,3,49,10
31,216,0,7,3,3,57,10
31,216,0,7,3,3,67,9
31,216,0,7,3,3,68,9
31,216,0,7,3,3,75,10
31,216,0,7,3,3,79,10
31,216,0,7,3,3,83,10
31,216,0,7,3,3,96,10
31,216,0,7,3,3,102,10
31,216,0,7,3,3,119,8
31,217,0,7,4,4,38,10
31,217,0,7,4,4,47,2
31,217,0,7,4,4,90,10
31,217,0,7,4,4,91,10
31,217,0,7,4,4,101,10
31,217,0,7,4,4,102,10
31,217,0,7,4,4,118,8
31,217,0,7,4,4,121,8
31,218,0,7,5,5,38,10
31,218,0,7,5,5,45,5
31,218,0,7,5,5,51,5
31,218,0,7,5,5,51,10
31,218,0,7,5,5,68,10
31,218,0,7,5,5,77,10
31,218,0,7,5,5,95,2
31,218,0,7,5,5,95,10
31,218,0,7,5,5,96,2
31,218,0,7,5,5,110,10
31,219,0,7,6,6,43,10
31,219,0,7,6,6,48,4
31,219,0,7,6,6,70,10
31,219,0,7,6,6,89,10
31,219,0,7,6,6,112,10
32,220,0,7,7,0,42,10
32,220,0,7,7,0,62,10
32,220,0,7,7,0,66,2
32,220,0,7,7,0,70,2
32,220,0,7,7,0,81,10
32,220,0,7,7,0,88,10
32,220,0,7,7,0,96,8
32,220,0,7,7,0,120,8
32,221,0,7,8,1,44,10
32,221,0,7,8,1,50,5
32,221,0,7,8,1,53,10
32,221,0,7,8,1,57,2
32,221,0,7,8,1,59,10
32,221,0,7,8,1,106,6
32,221,0,7,8,1,106,10
32,221,0,7,8,1,117,8
32,221,0,7,8,1,118,8
32,221,0,7,8,1,120,10
32,222,0,7,9,2,38,10
32,222,0,7,9,2,45,10
32,222,0,7,9,2,70,10
32,222,0,7,9,2,71,10
32,222,0,7,9,2,90,2
32,222,0,7,9,2,91,2
32,222,0,7,9,2,91,10
32,222,0,7,9,2,101,10
32,223,0,7,10,3,33,10
32,223,0,7,10,3,44,5
32,223,0,7,10,3,49,5
32,223,0,7,10,3,49,10
32,223,0,7,10,3,60,2
32,223,0,7,10,3,72,10
32,223,0,7,10,3,77,10
32,223,0,7,10,3,107,10
32,224,0,7,11,4,39,10
32,224,0,7,11,4,40,10
32,224,0,7,11,4,48,10
32,224,0,7,11,4,95,10
32,224,0,7,11,4,105,2
32,225,0,7,12,5,44,10
32,225,0,7,12,5,51,10
32,225,0,7,12,5,52,5
32,225,0,7,12,5,111,10
32,226,0,7,13,6,39,10
32,226,0,7,13,6,54,5
32,226,0,7,13,6,57,2
32,226,0,7,13,6,58,5
32,226,0,7,13,6,94,4
32,226,0,7,13,6,95,4
32,226,0,7,13,6,95,6
32,226,0,7,13,6,95,10
32,226,0,7,13,6,96,4
32,226,0,7,13,6,97,4
32,226,0,7,13,6,107,10
33,227,0,7,14,0,42,10
33,227,0,7,14,0,51,10
33,227,0,7,14,0,52,6
33,227,0,7,14,0,53,5
33,227,0,7,14,0,58,8
33,227,0,7,14,0,63,10
33,227,0,7,14,0,79,10
33,227,0,7,14,0,90,5
33,227,0,7,14,0,91,10
33,227,0,7,14,0,93,8
33,227,0,7,14,0,99,2
33,227,0,7,14,0,99,10
33,227,0,7,14,0,100,2
33,227,0,7,14,0,112,8
33,227,0,7,14,0,113,8
33,228,0,7,15,1,40,10
33,228,0,7,15,1,51,2
33,228,0,7,15,1,57,10
33,228,0,7,15,1,76,10
33,228,0,7,15,1,91,10
33,228,0,7,15,1,104,8
33,228,0,7,15,1,105,8
33,228,0,7,15,1,113,8
33,229,0,7,16,2,37,10
33,229,0,7,16,2,45,10
33,229,0,7,16,2,51,10
33,229,0,7,16,2,60,8
33,229,0,7,16,2,63,10
33,229,0,7,16,2,70,10
33,229,0,7,16,2,71,10
33,230,0,7,17,3,34,10
33,230,0,7,17,3,43,10
33,230,0,7,17,3,86,10
33,230,0,7,17,3,105,6
33,231,0,7,18,4,38,10
33,231,0,7,18,4,47,10
33,231,0,7,18,4,49,2
33,231,0,7,18,4,56,5
33,232,0,7,19,5,39,10
33,232,0,7,19,5,54,10
33,232,0,7,19,5,86,10
33,232,0,7,19,5,98,10
33,232,0,7,19,5,103,2
33,233,0,7,20,6,37,10
33,233,0,7,20,6,46,5
33,233,0,7,20,6,46,10
33,233,0,7,20,6,51,5
33,233,0,7,20,6,57,5
33,233,0,7,20,6,60,8
33,233,0,7,20,6,93,10
33,233,0,7,20,6,103,10
33,233,0,7,20,6,107,10
34,234,0,7,21,0,39,10
34,234,0,7,21,0,46,2
34,234,0,7,21,0,46,10
34,234,0,7,21,0,73,10
34,234,0,7,21,0,91,10
34,234,0,7,21,0,95,2
34,234,0,7,21,0,96,2
34,234,0,7,21,0,106,10
34,234,0,7,21,0,116,8
34,235,0,7,22,1,37,10
34,235,0,7,22,1,38,10
34,235,0,7,22,1,47,10
34,235,0,7,22,1,61,10
34,235,0,7,22,1,72,10
34,235,0,7,22,1,95,10
34,235,0,7,22,1,98,10
34,235,0,7,22,1,106,10
34,236,0,7,23,2,44,10
34,236,0,7,23,2,54,10
34,236,0,7,23,2,56,10
34,236,0,7,23,2,72,2
34,236,0,7,23,2,72,10
34,236,0,7,23,2,79,5
34,236,0,7,23,2,83,5
34,236,0,7,23,2,105,10
34,237,0,7,24,3,39,10
34,237,0,7,24,3,47,10
34,237,0,7,24,3,48,2
34,237,0,7,24,3,73,10
34,237,0,7,24,3,89,10
